Starting duty-cycle loop
iteration,frequency_in,frequency_out,resolution_out,ratio,read_val
3,10000,10000,12,0.957,0.95665
4,10000,10000,12,0.957,0.9571
0,5000,15000,12,0.957,0.9509
1,5000,15000,12,0.957,0.9548
2,5000,15000,12,0.957,0.9542
3,5000,15000,12,0.957,0.9547
4,5000,15000,12,0.957,0.9546
0,10000,10000,12,0.37,0.363
1,10000,10000,12,0.37,0.3581
2,10000,10000,12,0.37,0.3581
3,10000,10000,12,0.37,0.3564
4,10000,10000,12,0.37,0.35815
0,5000,15000,12,0.37,0.3588
1,5000,15000,12,0.37,0.3587
2,5000,15000,12,0.37,0.3587
3,5000,15000,12,0.37,0.3575
4,5000,15000,12,0.37,0.3587
0,10000,10000,12,0.07,0.0666
1,10000,10000,12,0.07,0.06625
2,10000,10000,12,0.07,0.06635
3,10000,10000,12,0.07,0.067
4,10000,10000,12,0.07,0.06625
0,5000,15000,12,0.07,0.0687
1,5000,15000,12,0.07,0.0658
2,5000,15000,12,0.07,0.0666
3,5000,15000,12,0.07,0.0667
4,5000,15000,12,0.07,0.0667
0,10000,10000,12,0.74,0.7245
1,10000,10000,12,0.74,0.72815
2,10000,10000,12,0.74,0.72815
3,10000,10000,12,0.74,0.72805
4,10000,10000,12,0.74,0.73005
0,5000,15000,12,0.74,0.7228
1,5000,15000,12,0.74,0.7308
2,5000,15000,12,0.74,0.7289
3,5000,15000,12,0.74,0.7307
4,5000,15000,12,0.74,0.7322
0,10000,10000,12,0.061,0.06185
1,10000,10000,12,0.061,0.05885
2,10000,10000,12,0.061,0.0582
3,10000,10000,12,0.061,0.05895
4,10000,10000,12,0.061,0.0582
0,5000,15000,12,0.061,0.067
1,5000,15000,12,0.061,0.0602
2,5000,15000,12,0.061,0.0604
3,5000,15000,12,0.061,0.0606
4,5000,15000,12,0.061,0.0598
0,10000,10000,12,0.306,0.29315
1,10000,10000,12,0.306,0.2957
2,10000,10000,12,0.306,0.2931
3,10000,10000,12,0.306,0.29515
4,10000,10000,12,0.306,0.2925
0,5000,15000,12,0.306,0.2957
1,5000,15000,12,0.306,0.2962
2,5000,15000,12,0.306,0.2961
3,5000,15000,12,0.306,0.2962
4,5000,15000,12,0.306,0.2961
0,10000,10000,12,0.007,0.00645
1,10000,10000,12,0.007,0.0065
2,10000,10000,12,0.007,0.0066
3,10000,10000,12,0.007,0.00655
4,10000,10000,12,0.007,0.0065
0,5000,15000,12,0.007,0.0067
1,5000,15000,12,0.007,0.0068
2,5000,15000,12,0.007,0.0068
3,5000,15000,12,0.007,0.0067
4,5000,15000,12,0.007,0.0066
0,10000,10000,12,0.277,0.2639
1,10000,10000,12,0.277,0.26355
2,10000,10000,12,0.277,0.26625
3,10000,10000,12,0.277,0.2636
4,10000,10000,12,0.277,0.26425
0,5000,15000,12,0.277,0.2674
1,5000,15000,12,0.277,0.2652
2,5000,15000,12,0.277,0.266
3,5000,15000,12,0.277,0.2674
4,5000,15000,12,0.277,0.2664
0,10000,10000,12,0.01,0.009
1,10000,10000,12,0.01,0.0091
2,10000,10000,12,0.01,0.00905
3,10000,10000,12,0.01,0.00905
4,10000,10000,12,0.01,0.00905
0,5000,15000,12,0.01,0.0092
1,5000,15000,12,0.01,0.0083
2,5000,15000,12,0.01,0.0086
3,5000,15000,12,0.01,0.0087
4,5000,15000,12,0.01,0.0086
0,10000,10000,12,0.988,0.9872
1,10000,10000,12,0.988,0.98725
2,10000,10000,12,0.988,0.9873
3,10000,10000,12,0.988,0.98735
4,10000,10000,12,0.988,0.98735
0,5000,15000,12,0.988,0.977
1,5000,15000,12,0.988,0.9868
2,5000,15000,12,0.988,0.9869
3,5000,15000,12,0.988,0.9868
4,5000,15000,12,0.988,0.9869
0,10000,10000,12,0.71,0.69955
1,10000,10000,12,0.71,0.6987
2,10000,10000,12,0.71,0.69775
3,10000,10000,12,0.71,0.69955
4,10000,10000,12,0.71,0.69615
0,5000,15000,12,0.71,0.7017
1,5000,15000,12,0.71,0.6987
2,5000,15000,12,0.71,0.6995
3,5000,15000,12,0.71,0.6987
4,5000,15000,12,0.71,0.6993
0,10000,10000,12,0.762,0.75055
1,10000,10000,12,0.762,0.75215
2,10000,10000,12,0.762,0.753
3,10000,10000,12,0.762,0.75125
4,10000,10000,12,0.762,0.7512
0,5000,15000,12,0.762,0.7541
1,5000,15000,12,0.762,0.7527
2,5000,15000,12,0.762,0.7536
3,5000,15000,12,0.762,0.7519
4,5000,15000,12,0.762,0.7503
0,10000,10000,12,0.136,0.133
1,10000,10000,12,0.136,0.12925
2,10000,10000,12,0.136,0.12925
3,10000,10000,12,0.136,0.1292
4,10000,10000,12,0.136,0.1293
0,5000,15000,12,0.136,0.1302
1,5000,15000,12,0.136,0.1296
2,5000,15000,12,0.136,0.1303
3,5000,15000,12,0.136,0.1296
4,5000,15000,12,0.136,0.1296
0,10000,10000,12,0.04,0.0381
1,10000,10000,12,0.04,0.03815
2,10000,10000,12,0.04,0.03815
3,10000,10000,12,0.04,0.0379
4,10000,10000,12,0.04,0.03855
0,5000,15000,12,0.04,0.0384
